SUBTYPE_ID,SKILL_ID_1,SKILL_ID_2,SKILL_ID_3
401,160000001,0,0
403,160010001,0,0
407,160020001,0,0
409,160030001,0,0
410,160040001,0,0
411,160050001,0,0
412,160060001,0,0
413,160070001,0,0
414,160080001,0,0
415,160090001,0,0
416,160100001,0,0
417,160110001,0,0
419,160120001,0,0
420,160130001,0,0
421,160140001,0,0
422,160150001,0,0
423,160160001,0,0
424,160170001,0,0
425,160180001,0,0
426,160190001,0,0
427,160200001,0,0
428,160210001,0,0
429,160220001,0,0
430,160230001,0,0
431,160240001,0,0
432,160250001,0,0
433,160260001,0,0
434,160270001,0,0
