SUBTYPE_ID,SKILL_ID_1,SKILL_ID_2,SKILL_ID_3,RAID_SKILL_ID_1,RAID_SKILL_ID_2,RAID_SKILL_3,RAID_ABILITY_SORT,SHADOWLAND_SUBTYPE_FILTER
401,204010101,0,0,204010401,0,0,1,0
403,204030101,0,0,204030401,0,0,2,0
407,204070101,0,0,204070401,0,0,3,0
409,204090101,0,0,204090401,0,0,2,0
410,204100101,0,0,204100401,0,0,3,0
411,204110101,0,0,204110401,0,0,1,0
412,204120101,0,0,204120401,0,0,1,0
413,204130101,0,0,204130401,0,0,3,0
414,204140101,0,0,204140401,0,0,3,1
415,204150101,0,0,204150401,0,0,3,0
416,204160101,0,0,204160401,0,0,3,0
417,204170101,0,0,204170401,0,0,1,0
418,0,0,0,0,0,0,0,2
419,204190101,0,0,204190401,0,0,1,0
420,204200101,0,0,204200401,0,0,3,0
421,204210101,0,0,204210401,0,0,2,0
422,204220101,0,0,204220401,0,0,1,0
423,204230101,0,0,204230401,0,0,2,0
424,204240101,0,0,204240401,0,0,2,3
425,204250101,0,0,204250401,0,0,1,0
426,204260101,0,0,204260401,0,0,1,0
427,204270101,0,0,204270401,0,0,1,4
428,204280101,0,0,204280401,0,0,1,0
429,204290101,0,0,204290401,0,0,2,5
432,204320101,0,0,204320401,0,0,2,0
433,204330101,0,0,204330401,0,0,2,0
434,204340101,0,0,204340401,0,0,1,0
435,204350101,0,0,204350401,0,0,1,0
436,204360101,0,0,204360401,0,0,1,0
437,204370101,0,0,204370401,0,0,1,0
438,204380101,0,0,204380401,0,0,1,0
439,204390101,0,0,204390401,0,0,1,0
440,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0
442,204420101,0,0,204420401,0,0,2,0
443,204430101,0,0,204430401,0,0,1,0
444,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0
601,206010101,0,0,206010401,0,0,2,0
