ID,COUNT,REWARD_TYPE,REWARD_VALUE,REWARD_QTY,BEST,HERO_ID,CAMERA,ATTEND_TYPE,WEEK,HIGHLIGHT,ATTEND_CHECK_PRICE
1,1,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
1,2,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
1,3,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
1,4,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
1,5,100,1000045,4,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
1,6,100,1000045,4,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
1,7,100,1000045,4,1,1004502,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,1,0
2,1,100,1000005,2,0,0,"{""position"":{""x"":-2135,""y"":-595,""z"":362},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
2,2,100,1000005,2,0,0,"{""position"":{""x"":-2135,""y"":-595,""z"":362},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
2,3,100,1000005,2,0,0,"{""position"":{""x"":-2135,""y"":-595,""z"":362},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
2,4,100,1000005,2,0,0,"{""position"":{""x"":-2135,""y"":-595,""z"":362},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
2,5,100,1000005,4,0,0,"{""position"":{""x"":-2135,""y"":-595,""z"":362},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
2,6,100,1000005,4,0,0,"{""position"":{""x"":-2135,""y"":-595,""z"":362},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
2,7,100,1000005,4,1,1000502,"{""position"":{""x"":-2135,""y"":-595,""z"":362},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,1,0
3,1,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
3,2,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
3,3,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
3,4,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
3,5,100,1000045,4,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
3,6,100,1000045,4,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
3,7,100,1000045,4,1,1004502,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,1,0
4,1,100,1000025,2,0,0,"{""position"":{""x"":-2164,""y"":-404,""z"":-361},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
4,2,100,1000025,2,0,0,"{""position"":{""x"":-2164,""y"":-404,""z"":-361},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
4,3,100,1000025,2,0,0,"{""position"":{""x"":-2164,""y"":-404,""z"":-361},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
4,4,100,1000025,2,0,0,"{""position"":{""x"":-2164,""y"":-404,""z"":-361},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
4,5,100,1000025,4,0,0,"{""position"":{""x"":-2164,""y"":-404,""z"":-361},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
4,6,100,1000025,4,0,0,"{""position"":{""x"":-2164,""y"":-404,""z"":-361},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,0,0
4,7,100,1000025,4,1,1002502,"{""position"":{""x"":-2164,""y"":-404,""z"":-361},""rotation"":{""x"":0,""y"":0,""z"":0},""fov"":40}",1,1,1,0
5,1,100,1000052,2,0,0,"{""position"":{""x"":-2196,""y"":-292,""z"":377},""rotation"":{""x"":355,""y"":0,""z"":0},""fov"":40}",1,1,0,0
5,2,100,1000052,2,0,0,"{""position"":{""x"":-2196,""y"":-292,""z"":377},""rotation"":{""x"":355,""y"":0,""z"":0},""fov"":40}",1,1,0,0
5,3,100,1000052,2,0,0,"{""position"":{""x"":-2196,""y"":-292,""z"":377},""rotation"":{""x"":355,""y"":0,""z"":0},""fov"":40}",1,1,0,0
5,4,100,1000052,2,0,0,"{""position"":{""x"":-2196,""y"":-292,""z"":377},""rotation"":{""x"":355,""y"":0,""z"":0},""fov"":40}",1,1,0,0
5,5,100,1000052,4,0,0,"{""position"":{""x"":-2196,""y"":-292,""z"":377},""rotation"":{""x"":355,""y"":0,""z"":0},""fov"":40}",1,1,0,0
5,6,100,1000052,4,0,0,"{""position"":{""x"":-2196,""y"":-292,""z"":377},""rotation"":{""x"":355,""y"":0,""z"":0},""fov"":40}",1,1,0,0
5,7,100,1000052,4,1,1005202,"{""position"":{""x"":-2196,""y"":-292,""z"":377},""rotation"":{""x"":355,""y"":0,""z"":0},""fov"":40}",1,1,1,0
6,1,100,1000002,4,0,0,"{""position"":{""x"":-3157,""y"":-486,""z"":-231},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
6,2,100,1000002,4,0,0,"{""position"":{""x"":-3157,""y"":-486,""z"":-231},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
6,3,100,1000002,4,0,0,"{""position"":{""x"":-3157,""y"":-486,""z"":-231},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
6,4,100,1000002,4,0,0,"{""position"":{""x"":-3157,""y"":-486,""z"":-231},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
6,5,100,1000002,8,0,0,"{""position"":{""x"":-3157,""y"":-486,""z"":-231},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
6,6,100,1000002,8,0,0,"{""position"":{""x"":-3157,""y"":-486,""z"":-231},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
6,7,100,1000002,8,1,1000203,"{""position"":{""x"":-3157,""y"":-486,""z"":-231},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,1,0
7,1,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
7,2,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
7,3,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
7,4,100,1000045,2,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
7,5,100,1000045,4,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
7,6,100,1000045,4,0,0,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,0,0
7,7,100,1000045,4,1,1004502,"{""position"":{""x"":-3080,""y"":-400,""z"":-72},""rotation"":{""x"":355,""y"":33,""z"":0},""fov"":40}",1,1,1,0
8,1,100,1000010,2,0,0,"{""position"":{""x"":-2382,""y"":-79,""z"":329},""rotation"":{""x"":0,""y"":13.6,""z"":0},""fov"":40}",1,1,0,0
8,2,100,1000010,2,0,0,"{""position"":{""x"":-2382,""y"":-79,""z"":329},""rotation"":{""x"":0,""y"":13.6,""z"":0},""fov"":40}",1,1,0,0
8,3,100,1000010,2,0,0,"{""position"":{""x"":-2382,""y"":-79,""z"":329},""rotation"":{""x"":0,""y"":13.6,""z"":0},""fov"":40}",1,1,0,0
8,4,100,1000010,2,0,0,"{""position"":{""x"":-2382,""y"":-79,""z"":329},""rotation"":{""x"":0,""y"":13.6,""z"":0},""fov"":40}",1,1,0,0
8,5,100,1000010,4,0,0,"{""position"":{""x"":-2382,""y"":-79,""z"":329},""rotation"":{""x"":0,""y"":13.6,""z"":0},""fov"":40}",1,1,0,0
8,6,100,1000010,4,0,0,"{""position"":{""x"":-2382,""y"":-79,""z"":329},""rotation"":{""x"":0,""y"":13.6,""z"":0},""fov"":40}",1,1,0,0
