LIBRARY_TAB,LIBRARY_CHAPTER,INDEX,DIALOG_GROUP_ID,DIALOG_NAME_ID,QUEST_ID,STAGE_1,STAGE_2,STAGE_3,OPEN
0,0,0,2231,0,0,,,,0
0,1,0,13301,0,0,,,,0
0,1,1,13305,0,0,,,,0
0,1,2,13308,0,0,,,,0
0,1,3,13309,0,0,,,,0
0,1,4,13311,0,0,,,,0
0,1,5,13313,0,0,,,,0
0,2,0,13314,0,0,,,,0
0,2,1,13315,0,0,,,,0
0,2,2,13316,0,0,,,,0
0,2,3,13318,0,0,,,,0
0,2,4,13319,0,0,,,,0
0,2,5,13412,0,0,,,,0
0,2,6,13322,0,0,,,,0
0,2,7,13323,0,0,,,,0
0,2,8,13327,0,0,,,,0
0,3,0,13328,0,0,,,,0
0,3,1,13330,0,0,,,,0
0,3,2,13332,0,0,,,,0
0,3,3,13333,0,0,,,,0
0,3,4,13334,0,0,,,,0
0,3,5,13335,0,0,,,,0
0,3,6,13336,0,0,,,,0
0,3,7,13337,0,0,,,,0
0,3,8,13338,0,0,,,,0
0,3,9,13339,0,0,,,,0
0,3,10,13341,0,0,,,,0
0,3,11,13342,0,0,,,,0
0,3,12,13344,0,0,,,,0
0,3,13,13345,0,0,,,,0
0,4,0,13346,0,0,,,,0
0,4,1,13350,0,0,,,,0
0,4,2,13351,0,0,,,,0
0,4,3,13352,0,0,,,,0
0,4,4,13355,0,0,,,,0
0,4,5,13356,0,0,,,,0
0,5,0,13357,0,0,,,,0
0,5,1,13363,0,0,,,,0
0,6,0,13364,0,0,,,,0
0,6,1,13365,0,0,,,,0
0,6,2,13366,0,0,,,,0
0,6,3,13371,0,0,,,,0
0,6,4,13372,0,0,,,,0
0,6,5,13377,0,0,,,,0
0,7,0,13378,0,0,,,,0
0,7,1,13380,0,0,,,,0
0,7,2,13381,0,0,,,,0
0,7,3,13383,0,0,,,,0
0,7,4,13385,0,0,,,,0
0,7,5,13388,0,0,,,,0
0,7,6,13391,0,0,,,,0
0,7,7,13394,0,0,,,,0
0,7,8,13395,0,0,,,,0
0,7,9,13399,0,0,,,,0
0,8,0,13400,0,0,,,,0
0,8,1,13402,0,0,,,,0
0,8,2,13403,0,0,,,,0
0,8,3,13404,0,0,,,,0
0,8,4,13405,0,0,,,,0
0,8,5,13406,0,0,,,,0
0,8,6,13407,0,0,,,,0
0,8,7,13408,0,0,,,,0
0,8,8,13409,0,0,,,,0
0,8,9,13410,0,0,,,,0
