REWARD_GROUP,REWARD_ID,REWARD_TYPE_1,REWARD_VALUE_1,REWARD_QTY_1,REWARD_TYPE_2,REWARD_VALUE_2,REWARD_QTY_2,REWARD_TYPE_3,REWARD_VALUE_3,REWARD_QTY_3,RANDOM_PICK_ID_1,RANDOM_PICK_ID_2
100010001,1,100,1070001,10,100,1020005,20,100,234,5,0,0
100010001,2,100,1070001,10,100,1020005,20,100,234,5,0,0
100010001,3,100,1070001,10,100,1020005,20,100,234,5,0,0
100010002,1,3,0,20000,100,10199001,80,100,234,5,0,0
100010002,2,3,0,20000,100,10199002,30,100,234,5,0,0
100010002,3,3,0,20000,100,10199001,80,100,234,5,0,0
100010003,1,3,0,25000,100,10199001,90,100,234,5,0,0
100010003,2,3,0,25000,100,10199002,40,100,234,5,0,0
100010003,3,3,0,25000,100,10199001,90,100,234,5,0,0
100010004,1,3,0,30000,100,10199001,110,100,234,5,0,0
100010004,2,3,0,30000,100,10199002,60,100,234,5,0,0
100010004,3,3,0,30000,100,10199001,110,100,234,5,0,0
100010005,1,3,0,35000,307,2156,1,100,234,5,0,0
100010005,2,3,0,35000,307,2156,1,100,234,5,0,0
100010005,3,3,0,35000,307,2156,1,100,234,5,0,0
100010006,1,3,0,40000,300,1055,1,100,234,5,0,0
100010006,2,3,0,40000,300,1095,1,100,234,5,0,0
100010006,3,3,0,40000,300,1066,1,100,234,5,0,0
100010007,1,3,0,45000,100,10199001,120,100,234,5,0,0
100010007,2,3,0,45000,100,10199002,70,100,234,5,0,0
100010007,3,3,0,45000,100,10199001,120,100,234,5,0,0
100010008,1,3,0,50000,100,10199001,130,100,234,5,0,0
100010008,2,3,0,50000,100,10199002,80,100,234,5,0,0
100010008,3,3,0,50000,100,10199001,130,100,234,5,0,0
100010009,1,3,0,55000,100,10199001,150,100,234,5,0,0
100010009,2,3,0,55000,100,10199002,100,100,234,5,0,0
100010009,3,3,0,55000,100,10199001,150,100,234,5,0,0
100010010,1,3,0,60000,307,2226,1,100,234,5,0,0
100010010,2,3,0,60000,307,2226,1,100,234,5,0,0
100010010,3,3,0,60000,307,2226,1,100,234,5,0,0
100010011,1,3,0,65000,300,1056,1,100,234,5,0,0
100010011,2,3,0,65000,300,1096,1,100,234,5,0,0
100010011,3,3,0,65000,300,1067,1,100,234,5,0,0
100010012,1,3,0,70000,307,2225,1,100,234,5,0,0
100010012,2,3,0,70000,3,0,80000,100,234,5,0,0
100010012,3,3,0,70000,307,2225,1,100,234,5,0,0
100010013,1,3,0,75000,307,2163,1,100,234,5,0,0
100010013,2,3,0,75000,3,0,90000,100,234,5,0,0
100010013,3,3,0,75000,307,2163,1,100,234,5,0,0
100010014,1,3,0,80000,307,2214,1,100,234,5,0,0
100010014,2,3,0,80000,3,0,100000,100,234,5,0,0
100010014,3,3,0,80000,307,2214,1,100,234,5,0,0
100010015,1,3,0,85000,307,2159,1,100,234,5,0,0
100010016,1,3,0,90000,300,1057,1,100,234,5,0,0
100010016,2,3,0,90000,300,1083,1,100,234,5,0,0
100010016,3,3,0,90000,300,1068,1,100,234,5,0,0
100010017,1,3,0,95000,100,1070001,40,100,234,5,0,0
100010017,2,3,0,95000,3,0,150000,100,234,5,0,0
100010017,3,3,0,95000,100,1020005,10,100,234,5,0,0
100010018,1,3,0,100000,100,1070001,60,100,234,5,0,0
100010018,2,3,0,100000,3,0,165000,100,234,5,0,0
100010018,3,3,0,100000,100,1020005,15,100,234,5,0,0
100010019,1,3,0,110000,100,1070001,80,100,234,5,0,0
100010019,2,3,0,110000,3,0,180000,100,234,5,0,0
100010019,3,3,0,110000,100,1020005,20,100,234,5,0,0
100010020,1,3,0,120000,100,1070001,100,100,234,5,0,0
100010020,2,3,0,120000,3,0,200000,100,234,5,0,0
100010020,3,3,0,120000,100,1020005,25,100,234,5,0,0
100010021,1,3,0,250000,3,0,250000,100,234,5,0,0
100010021,2,3,0,250000,3,0,250000,100,234,5,0,0
100010021,3,3,0,250000,3,0,250000,100,234,5,0,0
100010022,1,100,7106,1,100,7106,1,100,234,5,0,0
100010022,2,100,7106,1,100,7106,1,100,234,5,0,0
100010022,3,100,7106,1,100,7106,1,100,234,5,0,0
100010023,1,300,1057,1,300,1057,1,100,234,5,0,0
100010023,2,300,1057,1,300,1057,1,100,234,5,0,0
100010023,3,300,1057,1,300,1057,1,100,234,5,0,0
100010024,1,100,1070001,120,300,1083,1,100,234,5,0,0
100010024,2,100,1070001,120,300,1083,1,100,234,5,0,0
100010024,3,100,1070001,120,300,1083,1,100,234,5,0,0
100010025,1,100,1020005,60,300,1068,1,100,234,5,0,0
100010026,1,100,3503,5,300,1154,1,100,234,5,0,0
100010026,2,100,3503,5,300,1155,1,100,234,5,0,0
100010026,3,100,3503,5,300,1154,1,100,234,5,0,0
100010027,1,100,3503,10,300,1154,1,100,234,5,0,0
100010028,1,100,3503,15,300,1154,1,100,234,5,0,0
100010028,2,100,3503,15,300,1155,1,100,234,5,0,0
100010028,3,100,3503,15,300,1154,1,100,234,5,0,0
100010029,1,100,3503,20,300,1155,1,100,234,5,0,0
