GROUP_ID,ID,GRADE_TYPE,GRADE_PROBABILITY,TIME,HERO_COUNT,RECOMMEND_HERO_COUNT,COST_TYPE,COST_VALUE,COST_QTY,REQ_HERO_LEVEL,EXP,TOKEN,WARP_IMG,WARP_LIST_IMG
1,10101,1,2000,21600,5,5,3,0,10200,30,77235,15,WARP_CitySlum,WARP_CitySlum_list
1,10102,1,2000,21600,5,5,3,0,10200,30,77235,15,WARP_CitySlum,WARP_CitySlum_list
1,10103,1,2000,21600,5,5,3,0,10200,30,77235,15,WARP_CitySlum,WARP_CitySlum_list
1,10104,1,2000,21600,5,5,3,0,10200,30,77235,15,WARP_CitySlum,WARP_CitySlum_list
1,10105,1,2000,21600,5,5,3,0,10200,30,77235,15,WARP_CitySlum,WARP_CitySlum_list
1,10201,2,2000,21600,5,5,3,0,12240,35,122235,16,WARP_CitySlum,WARP_CitySlum_list
1,10202,2,2000,21600,5,5,3,0,12240,35,122235,16,WARP_CitySlum,WARP_CitySlum_list
1,10203,2,2000,21600,5,5,3,0,12240,35,122235,16,WARP_CitySlum,WARP_CitySlum_list
1,10204,2,2000,21600,5,5,3,0,12240,35,122235,16,WARP_CitySlum,WARP_CitySlum_list
1,10205,2,2000,21600,5,5,3,0,12240,35,122235,16,WARP_CitySlum,WARP_CitySlum_list
1,10301,3,2000,21600,5,5,3,0,14280,40,194235,17,WARP_CitySlum,WARP_CitySlum_list
1,10302,3,2000,21600,5,5,3,0,14280,40,194235,17,WARP_CitySlum,WARP_CitySlum_list
1,10303,3,2000,21600,5,5,3,0,14280,40,194235,17,WARP_CitySlum,WARP_CitySlum_list
1,10304,3,2000,21600,5,5,3,0,14280,40,194235,17,WARP_CitySlum,WARP_CitySlum_list
1,10305,3,2000,21600,5,5,3,0,14280,40,194235,17,WARP_CitySlum,WARP_CitySlum_list
1,10401,4,2000,21600,5,5,3,0,16320,45,310470,18,WARP_CitySlum,WARP_CitySlum_list
1,10402,4,2000,21600,5,5,3,0,16320,45,310470,18,WARP_CitySlum,WARP_CitySlum_list
1,10403,4,2000,21600,5,5,3,0,16320,45,310470,18,WARP_CitySlum,WARP_CitySlum_list
1,10404,4,2000,21600,5,5,3,0,16320,45,310470,18,WARP_CitySlum,WARP_CitySlum_list
1,10405,4,2000,21600,5,5,3,0,16320,45,310470,18,WARP_CitySlum,WARP_CitySlum_list
1,10501,5,2000,21600,5,5,3,0,18360,50,498720,19,WARP_CitySlum,WARP_CitySlum_list
1,10502,5,2000,21600,5,5,3,0,18360,50,498720,19,WARP_CitySlum,WARP_CitySlum_list
1,10503,5,2000,21600,5,5,3,0,18360,50,498720,19,WARP_CitySlum,WARP_CitySlum_list
1,10504,5,2000,21600,5,5,3,0,18360,50,498720,19,WARP_CitySlum,WARP_CitySlum_list
1,10505,5,2000,21600,5,5,3,0,18360,50,498720,19,WARP_CitySlum,WARP_CitySlum_list
1,10601,6,2000,21600,5,5,3,0,20400,60,1289175,20,WARP_CitySlum,WARP_CitySlum_list
1,10602,6,2000,21600,5,5,3,0,20400,60,1289175,20,WARP_CitySlum,WARP_CitySlum_list
1,10603,6,2000,21600,5,5,3,0,20400,60,1289175,20,WARP_CitySlum,WARP_CitySlum_list
1,10604,6,2000,21600,5,5,3,0,20400,60,1289175,20,WARP_CitySlum,WARP_CitySlum_list
1,10605,6,2000,21600,5,5,3,0,20400,60,1289175,20,WARP_CitySlum,WARP_CitySlum_list
2,20101,1,2000,21600,6,5,3,0,11900,30,77235,19,WARP_Jotunnheim,WARP_Jotunnheim_list
2,20102,1,2000,21600,6,5,3,0,11900,30,77235,19,WARP_Jotunnheim,WARP_Jotunnheim_list
2,20103,1,2000,21600,6,5,3,0,11900,30,77235,19,WARP_Jotunnheim,WARP_Jotunnheim_list
2,20104,1,2000,21600,6,5,3,0,11900,30,77235,19,WARP_Jotunnheim,WARP_Jotunnheim_list
2,20105,1,2000,21600,6,5,3,0,11900,30,77235,19,WARP_Jotunnheim,WARP_Jotunnheim_list
2,20201,2,2000,21600,6,5,3,0,14280,35,122235,20,WARP_Jotunnheim,WARP_Jotunnheim_list
2,20202,2,2000,21600,6,5,3,0,14280,35,122235,20,WARP_Jotunnheim,WARP_Jotunnheim_list
2,20203,2,2000,21600,6,5,3,0,14280,35,122235,20,WARP_Jotunnheim,WARP_Jotunnheim_list
2,20204,2,2000,21600,6,5,3,0,14280,35,122235,20,WARP_Jotunnheim,WARP_Jotunnheim_list
2,20205,2,2000,21600,6,5,3,0,14280,35,122235,20,WARP_Jotunnheim,WARP_Jotunnheim_list
2,20301,3,2000,21600,6,5,3,0,16660,40,194235,21,WARP_Jotunnheim,WARP_Jotunnheim_list
